message,label
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)",1
"Nah I don't think he goes to usf, he lives around here though",0
"WINNER!! As a valued network customer you have been selected to receive a Â£900 prize reward!",1
"Hey, are we still meeting up later?",0
"You've won a guaranteed $1000 cash or a $2000 prize. To claim your prize call now!",1
"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight, k?",0
"URGENT! You have won a 1 week FREE membership in our $100,000 Prize Jackpot!",1
"Ok lar... Joking wif u oni...",0
"Congratulations! You've won a free ticket to Bahamas. Call now!",1
"Can you help me pick up groceries after work?",0
"You are selected to receive a FREE vacation!",1
"I got your message, I'll call you later.",0
"CLAIM YOUR FREE RINGTONE NOW! Just text the word GET to 80082!",1
"Let's go out for dinner tonight.",0
